SACYR,3.402,2.66,0.09,10.96,3.412,3.324,815407,2366,11:34,11:51,18
SANTANDER,4.570,0.10,0.00,23.34,4.600,4.543,4498871,72323,11:35,11:51,18
SOLARIA,10.120,2.58,0.26,-45.62,10.150,9.880,400617,1265,11:34,11:51,18
TELEFÓNICA,4.268,0.90,0.04,20.77,4.275,4.228,2667320,24543,11:35,11:51,18
UNICAJA BANCO,1.283,-0.39,-0.00,50.69,1.297,1.277,3352598,3406,11:34,11:51,18
ACCIONA,113.400,2.16,2.40,-14.93,113.700,111.500,42609,6221,12:51,13:07,18
ACCIONA ENER,20.100,2.45,0.48,-28.42,20.180,19.700,126402,6618,12:42,13:08,18
ACERINOX,10.200,-0.29,-0.03,-1.22,10.280,10.190,101505,2760,12:41,13:08,18
ACS,37.940,0.37,0.14,-4.44,38.000,37.640,51222,10307,12:51,13:08,18
AENA,173.200,0.17,0.30,5.55,174.100,172.100,42942,25980,12:52,13:08,18
AMADEUS IT GROUP,60.060,-1.38,-0.84,-6.79,61.140,59.980,135066,27057,12:52,13:08,18
ARCELORMITTAL,24.400,0.25,0.06,-4.93,24.650,24.180,148926,21419,12:52,13:08,18
BANCO SABADELL,1.866,0.32,0.01,71.26,1.884,1.828,26566180,10151,12:53,13:08,18
BANKINTER,7.504,-0.50,-0.04,31.53,7.580,7.494,642480,6745,12:53,13:08,18
BBVA,9.830,0.47,0.05,23.89,9.930,9.728,5429517,57387,12:53,13:08,18
CAIXABANK,4.968,0.67,0.03,44.99,4.987,4.933,3395880,37271,12:53,13:08,18
CELLNEX TELECOM,32.460,1.76,0.56,-8.97,32.460,31.690,446989,22051,12:53,13:08,18
COLONIAL,5.630,0.27,0.02,-14.05,5.640,5.605,221982,3038,12:51,13:08,18
ENAGAS,13.870,1.02,0.14,-9.14,13.880,13.750,141618,3634,12:51,13:08,18
ENDESA,17.260,-0.12,-0.02,-6.50,17.370,17.195,228663,18274,12:52,13:08,18
FERROVIAL,34.140,0.23,0.08,3.39,34.440,34.100,180077,25287,12:52,13:08,18
FLUIDRA,20.080,0.45,0.09,6.53,20.120,19.980,43217,3928,12:49,13:08,18
GRIFOLS,8.960,2.49,0.22,-42.03,8.960,8.718,677530,3818,12:53,13:08,18
IAG,2.094,0.38,0.01,17.57,2.102,2.075,5897885,10410,12:52,13:08,18
IBERDROLA,11.535,-0.35,-0.04,-1.17,11.620,11.505,937426,74093,12:53,13:08,18
INDITEX,42.480,-0.05,-0.02,9.60,42.770,42.360,336452,132395,12:53,13:08,18
INDRA,18.000,-0.22,-0.04,28.57,18.170,17.970,113206,3180,12:52,13:08,18
LOGISTA,25.760,0.23,0.06,10.71,25.840,25.660,39752,3420,12:44,13:08,18
MAPFRE,2.260,-0.09,-0.00,16.31,2.270,2.254,756178,6960,12:50,13:08,18
MELIÁ HOTELS,7.325,-0.81,-0.06,22.90,7.455,7.310,128323,1614,12:53,13:08,18
MERLIN PROP,10.760,-0.09,-0.01,6.96,10.810,10.710,70390,5055,12:38,13:08,18
NATURGY,24.000,0.59,0.14,-9.35,24.040,23.860,117953,23271,12:50,13:08,18
REDEIA,15.850,-0.38,-0.06,8.26,16.030,15.780,280353,8576,12:52,13:08,18
REPSOL,14.385,-0.10,-0.01,10.20,14.485,14.345,662220,17512,12:52,13:08,18
ROVI,82.100,-0.12,-0.10,36.38,82.750,81.350,17206,4435,12:52,13:08,18
SACYR,3.402,2.66,0.09,10.96,3.412,3.324,1051188,2366,12:53,13:08,18
SANTANDER,4.563,-0.04,-0.00,23.17,4.600,4.543,7593341,72220,12:53,13:08,18
SOLARIA,10.130,2.69,0.27,-45.57,10.150,9.880,484364,1266,12:52,13:08,18
TELEFÓNICA,4.269,0.92,0.04,20.80,4.275,4.228,3523057,24549,12:52,13:08,18
UNICAJA BANCO,1.281,-0.54,-0.01,50.46,1.297,1.277,4192610,3401,12:52,13:08,18
ACCIONA,113.900,2.61,2.90,-14.55,117.600,111.500,167223,6248,17:35,18:22,18
ACCIONA ENER,20.200,2.96,0.58,-28.06,20.820,19.700,457975,6651,17:35,18:22,18
ACERINOX,10.150,-0.78,-0.08,-1.71,10.280,10.140,513454,2746,17:35,18:22,18
ACS,37.860,0.16,0.06,-4.64,38.200,37.640,310235,10285,17:35,18:22,18
AENA,172.700,-0.12,-0.20,5.24,174.500,172.100,161451,25905,17:35,18:22,18
AMADEUS IT GROUP,59.560,-2.20,-1.34,-7.56,61.140,59.440,749348,26832,17:44,18:22,18
ARCELORMITTAL,24.310,-0.12,-0.03,-5.28,24.680,24.180,266293,21340,17:35,18:22,18
BANCO SABADELL,1.885,1.34,0.02,73.00,1.897,1.828,62336144,10255,17:44,18:22,18
BANKINTER,7.394,-1.96,-0.15,29.61,7.580,7.332,3403880,6646,17:35,18:22,18
BBVA,9.850,0.67,0.07,24.14,9.964,9.728,16788024,57504,17:39,18:22,18
CAIXABANK,4.755,-3.65,-0.18,38.77,4.987,4.746,22971632,35673,17:43,18:22,18
CELLNEX TELECOM,32.820,2.88,0.92,-7.96,33.240,31.690,1724465,22296,17:36,18:22,18
COLONIAL,5.650,0.62,0.04,-13.74,5.830,5.605,891596,3049,17:39,18:22,18
ENAGAS,14.050,2.33,0.32,-7.96,14.150,13.750,947706,3681,17:35,18:22,18
ENDESA,17.235,-0.26,-0.05,-6.64,17.535,17.160,1265322,18248,17:37,18:22,18
FERROVIAL,34.220,0.47,0.16,3.63,34.620,34.080,948523,25346,17:35,18:22,18
FLUIDRA,20.380,1.95,0.39,8.12,20.620,19.980,322789,3987,17:35,18:22,18
GRIFOLS,8.890,1.69,0.15,-42.48,9.020,8.718,1901630,3788,17:40,18:22,18
IAG,2.081,-0.24,-0.00,16.84,2.114,2.075,12818829,10346,17:35,18:22,18
IBERDROLA,11.575,0.00,0.00,-0.83,11.695,11.505,6719706,74350,17:40,18:22,18
INDITEX,42.820,0.75,0.32,10.47,42.880,42.360,1995859,133455,17:44,18:22,18
INDRA,18.010,-0.17,-0.03,28.64,18.170,17.910,366875,3182,17:35,18:22,18
LOGISTA,25.600,-0.39,-0.10,10.02,25.880,25.600,123128,3398,17:35,18:22,18
MAPFRE,2.242,-0.88,-0.02,15.39,2.270,2.242,2882887,6904,17:35,18:22,18
MELIÁ HOTELS,7.440,0.74,0.05,24.83,7.490,7.310,471422,1640,17:35,18:22,18
MERLIN PROP,10.730,-0.37,-0.04,6.66,11.030,10.710,1083552,5041,17:35,18:22,18
NATURGY,24.060,0.84,0.20,-9.13,24.340,23.860,441479,23329,17:35,18:22,18
REDEIA,15.910,0.00,0.00,8.67,16.070,15.780,1136325,8609,17:35,18:22,18
REPSOL,14.375,-0.17,-0.02,10.13,14.485,14.310,2749076,17500,17:35,18:22,18
ROVI,82.850,0.79,0.65,37.62,83.300,81.350,40833,4475,17:35,18:22,18
SACYR,3.402,2.66,0.09,10.96,3.436,3.324,2188516,2366,17:35,18:22,18
SANTANDER,4.530,-0.77,-0.03,22.28,4.600,4.514,26322550,71698,17:43,18:22,18
SOLARIA,10.280,4.21,0.41,-44.76,10.630,9.880,1571625,1284,17:35,18:22,18
TELEFÓNICA,4.261,0.73,0.03,20.57,4.279,4.228,13372188,24503,17:35,18:22,18
UNICAJA BANCO,1.272,-1.24,-0.02,49.40,1.297,1.258,14508524,3377,17:35,18:22,18
